organization,service_type,address,city,state,country,postcode,latitude,longitude,public_telephone
Summerhill Medical Centre,Dietetics service,"Summerhill Village,Shop 18A,830 Plenty Road",RESERVOIR,VIC,AUS,3073,-37.725528717041016,145.02687072753906,
Simply Pschology,Psychology service,34 Worongary Road,WORONGARY,QLD,AUS,4213,-28.06001,153.35188,
Emma Keenan Dietitian - CARRUM,Dietetics service,505 Station St,CARRUM,VIC,AUS,3197,-38.075537,145.123312,
Helen Barnett Dietitian,Dietetics service,"Psych Solutions,14 SALE STREET",ORANGE,NSW,AUS,2800,-33.28494241,149.09621377,
Kelmscott Physiotherapy,Physiotherapy service,2933 Albany Highway,KELMSCOTT,WA,AUS,6111,-32.12120819091797,116.01737213134766,
CORIO MEDICAL CLINIC,General practice service,1 BACCHUS MARSH ROAD,CORIO,VIC,AUS,3214,-38.08347111,144.3574114,
Bendigo Community Health Services - Eaglehawk,Dietetics service,3 Seymoure Street,EAGLEHAWK,VIC,AUS,3556,-36.718292236328125,144.2512969970703,
,Exercise physiology service,"Suite 4,66 DRAYTON STREET",DALBY,QLD,AUS,4405,-27.18642767,151.26570381,
Universal Practice Richmond,Physiotherapy service,8 Albert Street,RICHMOND,VIC,AUS,3121,-37.82859420776367,144.9981689453125,
Darling Downs Rural Allied Health Team,Speech and language therapy service,Slessar Street,CHINCHILLA,QLD,AUS,4413,-26.748384475708008,150.6453399658203,
Fairfield Gardens Chemist,Pharmacy service,"Shop 32,180 Fairfield Road",FAIRFIELD,QLD,AUS,4103,-27.50905418395996,153.02603149414062,
Anthony Williams,Psychology service,54 Station Street,NEWTOWN,NSW,AUS,2042,-33.89964294433594,151.1771697998047,
Lymph and Floor Physio,Physiotherapy service,565 High Street,KEW EAST,VIC,AUS,3102,-37.800646,145.047151,
Focus Allied Health,Psychology service,"Suite 1,37 Kentwell Street ",ALLAMBIE HEIGHTS,NSW,AUS,2100,-33.77643,151.26666,
Perth Domestic Airport Pharmacy T1,Pharmacy service,"SITE 1C,203 Terminal",PERTH AIRPORT,WA,AUS,6105,-31.9442248,115.97217738,
Good Thinking Clinical Psychology,Psychology service,"Suite 1,1 Clarke Street",EARLWOOD,NSW,AUS,2206,-33.9261942,151.1249823,
National 360,Physiotherapy service,"3,254 Ross River Road",AITKENVALE,QLD,AUS,4814,-19.29658642,146.76943748,
headspace Geraldton,Mental health service,193 Marine Tce,GERALDTON,WA,AUS,6530,-28.775247,114.607759,
Insight Dietetics Hawthorn,Dietetics service,91 RIVERSDALE ROAD,HAWTHORN,VIC,AUS,3122,-37.82853823,145.03395917,
Evolve Medical,Exercise physiology service,2-6 WILLUNGA AVENUE,NAMBUCCA HEADS,NSW,AUS,2448,-30.65983606,152.98498076,
"Connell, Dr Tim - Psychologist",Psychology service,99 Hall Street,SEMAPHORE,SA,AUS,5019,-34.837158203125,138.488037109375,
QBrain & Spine,Neurosurgical service,"Ladhope Chambers,Suite 304,131 Wickham Terrace",BRISBANE CITY,QLD,AUS,4000,-27.464508056640625,153.025634765625,
Princess Park Clinic,General practice service,172 Welsford Street,SHEPPARTON,VIC,AUS,3630,-36.38269805908203,145.39710998535156,
TerryWhite Chemmart Mt Druitt,Pharmacy service,1 Calala St,MOUNT DRUITT,NSW,AUS,2770,-33.762527,150.817285,
Octa Medical,General practice service,"Ground Floor,13 BARBER AVENUE",KINGSWOOD,NSW,AUS,2747,-33.75772271,150.71223209,
TerryWhite Chemmart - New Farm,Pharmacy service,"Shop 2-3,660 BRUNSWICK STREET",NEW FARM,QLD,AUS,4005,-27.46324761,153.04159615,
Carrum Clinic,General practice service,509 Station Street,CARRUM,VIC,AUS,3197,-38.07582092285156,145.1233673095703,
Crown St Medical Centre,Psychology service,351 Crown Street,SURRY HILLS,NSW,AUS,2010,-33.88364028930664,151.21409606933594,
Numurkah Pharmacy,Pharmacy service,23 Melville Street,NUMURKAH,VIC,AUS,3636,-36.0892333984375,145.4425048828125,
